model,feature_type,latent_dim,beta,lr,epochs,n_clusters,clustering,eval_set,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity
CVAE,mel,16,1.0,0.001,60,18,GMM,all,0.03854392096400261,6340.213347931133,6.379511639241503,-0.00033425085782569337,0.003074959450673872,0.44957290573954745
CVAE,mel,16,1.0,0.001,60,18,GMM,labeled_only,0.04022599011659622,3484.0515861804297,6.58918632618051,-4.9277978958096745e-05,0.0049057985489848,0.13957709411017333
CVAE,mel,32,1.0,0.001,60,2,KMeans,all,0.6428514122962952,24416.493675936807,0.6093964778955535,-0.0008886920007532237,0.0003301437069731945,0.44957290573954745
CVAE,mel,32,1.0,0.001,60,2,KMeans,labeled_only,0.6423049569129944,13321.706761902802,0.6017383297282818,9.255113506137154e-05,0.0005192093947874309,0.1255104818949088
CVAE,mel,32,1.0,0.001,60,2,KMeans,language,0.6428514122962952,24416.493675936807,0.6093964778955535,-6.663940488019072e-06,2.3389328770211453e-05,0.5021729357110745
CVAE,mel,32,1.0,0.001,60,2,GMM,all,0.44052642583847046,16016.78474425752,0.846017493928053,-6.32107656727123e-05,0.0001167805105240629,0.44957290573954745
CVAE,mel,32,1.0,0.001,60,2,GMM,labeled_only,0.43700873851776123,8756.11779362467,0.8487316352932942,-0.0001735350378883016,0.00018748357182182067,0.12414919684181867
CVAE,mel,32,1.0,0.001,60,2,KMeans,language,0.6428514122962952,24416.493675936807,0.6093964778955535,-6.663940488019072e-06,2.3389328770211453e-05,0.5021729357110745
CVAE,mel,32,1.0,0.001,60,10,KMeans,all,0.47376662492752075,65582.2695345033,0.5992072919156874,-0.0009621907491434163,0.0018440922417136947,0.44957290573954745
CVAE,mel,32,1.0,0.001,60,10,KMeans,labeled_only,0.47414630651474,35210.227440661736,0.6005390595207907,-0.0003538083763138177,0.002955938866300287,0.13240765949723204
CVAE,mel,32,1.0,0.001,60,10,GMM,all,0.11482343822717667,7167.140604452564,3.228941116196625,-0.0006357313694665052,0.001995347466004043,0.44957290573954745
